Geography,Geography_type,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Albany,City,Weekly,10/13/19 0:00,Conventional,1.45282281,86564.48,4186.33,70525.35,98.36,8528.3,0,0,0,3226.14
Albany,City,Weekly,10/20/19 0:00,Conventional,1.287874788,100855.38,4059.89,84433.87,118.98,9182.76,0,0,0,3059.88
Albany,City,Weekly,10/27/19 0:00,Conventional,1.351592831,108087.68,3526.98,90577.01,105.29,9331.31,0,0,0,4547.08
Albany,City,Weekly,11/3/19 0:00,Conventional,1.224583196,78202.43,2959.73,61674.16,117.73,9054.39,0,0,0,4396.42
Albany,City,Weekly,11/10/19 0:00,Conventional,1.200986894,92291.92,4006.11,76136.08,87.89,8930.21,0,0,0,3131.63
Albany,City,Weekly,11/17/19 0:00,Conventional,1.172488461,124046.5,4070.8,107364.27,129.7,8640.02,0,0,0,3841.71
Albany,City,Weekly,11/24/19 0:00,Conventional,1.174363573,82650.15,3578.93,64966.03,130.63,9779.3,0,0,0,4195.26
Albany,City,Weekly,12/1/19 0:00,Conventional,1.197096142,77929.47,2906.6,60240.1,78.29,11204.9,0,0,0,3499.58
Albany,City,Weekly,12/8/19 0:00,Conventional,1.227088386,102088.76,3234.81,83319.83,130.29,10043.45,0,0,0,5360.38
Albany,City,Weekly,12/15/19 0:00,Conventional,1.092785027,103030.79,3682.52,82520.47,146.55,10916.11,0,0,0,5765.13
Albany,City,Weekly,12/22/19 0:00,Conventional,1.247479424,99288.35,3263.76,80378.48,122.21,9383,0,0,0,6140.9
Albany,City,Weekly,12/29/19 0:00,Conventional,1.07580715,96724.38,2771.29,79619.53,172.83,9407.78,0,0,0,4752.95
Albany,City,Weekly,1/7/19 0:00,Organic,1.517705937,4291.27,31.26,520.79,0,3739.23,0,0,0,0
Albany,City,Weekly,1/13/19 0:00,Organic,1.387891815,5112.4,34.52,438.09,0,4639.79,0,0,0,0
Albany,City,Weekly,1/20/19 0:00,Organic,1.581582999,3967.84,15.56,436.97,0,3515.31,0,0,0,0
Albany,City,Weekly,1/27/19 0:00,Organic,1.44123489,3413.69,16.68,383.29,0,3013.73,0,0,0,0
Albany,City,Weekly,2/3/19 0:00,Organic,1.37347914,3957.36,29.15,361.27,0,3566.93,0,0,0,0
Albany,City,Weekly,2/10/19 0:00,Organic,1.333021047,3889.78,150.7,390.89,0,3348.2,0,0,0,0
Albany,City,Weekly,2/17/19 0:00,Organic,1.446731462,3438.79,73.57,462.54,0,2902.68,0,0,0,0
Albany,City,Weekly,2/24/19 0:00,Organic,1.47638697,3559.86,45.38,524.8,0,2989.68,0,0,0,0
Albany,City,Weekly,3/3/19 0:00,Organic,1.313802977,5101.69,122.68,448.44,0,4530.57,0,0,0,0
Albany,City,Weekly,3/10/19 0:00,Organic,1.285681183,4986.52,55.47,371.47,0,4559.58,0,0,0,0
Albany,City,Weekly,3/17/19 0:00,Organic,1.355184624,4548.87,105.76,427.14,0,4015.97,0,0,0,0
Albany,City,Weekly,3/24/19 0:00,Organic,1.374180302,4195.16,70.09,428.06,0,3691.82,0,0,0,5.19
Albany,City,Weekly,3/31/19 0:00,Organic,1.744772394,2507.56,34.84,389.5,0,2083.22,0,0,0,0
Albany,City,Weekly,4/7/19 0:00,Organic,1.749032848,2609.52,111.6,482.81,0,2015.11,0,0,0,0
Albany,City,Weekly,4/14/19 0:00,Organic,1.655638543,4166.59,1298.2,745.98,0,2106.85,0,0,0,15.56
Albany,City,Weekly,4/21/19 0:00,Organic,2.15471281,2332.91,238.59,606.32,0,1473.71,0,0,0,14.29
Albany,City,Weekly,4/28/19 0:00,Organic,2.078387448,2135.86,131.15,543.74,0,1458.36,0,0,0,2.6
Albany,City,Weekly,5/5/19 0:00,Organic,2.10815155,2307.11,139.22,466.78,0,1701.1,0,0,0,0
Albany,City,Weekly,5/12/19 0:00,Organic,1.963674285,3268.27,38.39,570.19,0,2659.69,0,0,0,0
Albany,City,Weekly,5/19/19 0:00,Organic,1.830889252,2858.88,103.69,462.29,0,2292.89,0,0,0,0
Albany,City,Weekly,5/26/19 0:00,Organic,2.088800737,2454.75,59.22,460.28,0,1935.25,0,0,0,0
Albany,City,Weekly,6/2/19 0:00,Organic,2.126091667,1942.66,90.88,426.17,0,1425.61,0,0,0,0
Albany,City,Weekly,6/9/19 0:00,Organic,2.15899504,2042.31,132.32,521.77,0,1388.22,0,0,0,0
Albany,City,Weekly,6/16/19 0:00,Organic,2.142838908,2483.27,106.33,558.56,0,1818.39,0,0,0,0
Albany,City,Weekly,6/23/19 0:00,Organic,2.043104535,1978.19,63.73,256.07,0,1658.39,0,0,0,0
Albany,City,Weekly,6/30/19 0:00,Organic,1.960179895,2448.43,74.44,355.38,0,2018.61,0,0,0,0
Albany,City,Weekly,7/7/19 0:00,Organic,1.823220787,2588.39,86.05,526.15,0,1976.18,0,0,0,0
Albany,City,Weekly,7/14/19 0:00,Organic,1.884061012,2325.97,28.65,517.79,0,1779.53,0,0,0,0
Albany,City,Weekly,7/21/19 0:00,Organic,1.988073247,1909.94,26.13,430.74,0,1446.76,0,0,0,6.3
Albany,City,Weekly,7/28/19 0:00,Organic,2.020241428,2051.3,9.2,258.71,0,1770.83,0,0,0,12.56
Albany,City,Weekly,8/4/19 0:00,Organic,2.118327346,2438.94,5.11,292.18,0,2050.88,0,0,0,90.77
Albany,City,Weekly,8/11/19 0:00,Organic,2.192712582,2148.95,0,364.65,0,1688.71,0,0,0,95.58
Albany,City,Weekly,8/18/19 0:00,Organic,2.053086005,1805.16,8.96,157.29,0,1552.98,0,0,0,85.92
Albany,City,Weekly,8/25/19 0:00,Organic,2.305367827,1630.34,38.33,261,0,1249.92,0,0,0,81.09
Albany,City,Weekly,9/1/19 0:00,Organic,2.249685048,1796.47,24.31,304.37,0,1360.62,0,0,0,107.16
Albany,City,Weekly,9/8/19 0:00,Organic,2.193819509,2054.75,5.82,309.72,0,1537.51,0,0,0,201.7
Albany,City,Weekly,9/15/19 0:00,Organic,1.512075303,3520.12,11.57,199.98,0,3177.91,0,0,0,130.66
Albany,City,Weekly,9/22/19 0:00,Organic,1.66097083,2748.09,4.08,173.51,0,2430.48,0,0,0,140.01
Albany,City,Weekly,9/29/19 0:00,Organic,1.683810422,2387.03,4.08,216.37,0,2064.14,0,0,0,102.43
Albany,City,Weekly,10/6/19 0:00,Organic,1.462275829,3528.96,12.91,214.63,0,3205.82,0,0,0,95.6
Albany,City,Weekly,10/13/19 0:00,Organic,1.564374863,2736.69,10.22,213.69,0,2393.64,0,0,0,119.14
Albany,City,Weekly,10/20/19 0:00,Organic,1.653045453,2238.86,9.33,216.79,0,1905.51,0,0,0,107.23
Albany,City,Weekly,10/27/19 0:00,Organic,1.867637962,1817.17,3.07,199.47,0,1498.69,0,0,0,115.94
Albany,City,Weekly,11/3/19 0:00,Organic,1.814520316,2295.48,10.39,216.9,0,1932.9,0,0,0,135.29
Albany,City,Weekly,11/10/19 0:00,Organic,1.652084228,2563.82,3.07,188.3,0,2238.78,0,0,0,133.67
Albany,City,Weekly,11/17/19 0:00,Organic,1.664383383,2258.35,100.67,219.23,0,1801.77,0,0,0,136.68
Albany,City,Weekly,11/24/19 0:00,Organic,1.943497425,2080.61,122.49,350.27,0,1455.21,0,0,0,152.64
Albany,City,Weekly,12/1/19 0:00,Organic,2.153249181,1475.04,11.28,240.1,0,1104.14,0,0,0,119.51
Albany,City,Weekly,12/8/19 0:00,Organic,2.066265412,1640.91,22.04,177.83,0,1292.77,0,0,0,148.26
Albany,City,Weekly,12/15/19 0:00,Organic,1.786853389,1877.16,43.61,164.53,0,1519.27,0,0,0,149.76
Albany,City,Weekly,12/22/19 0:00,Organic,1.848015605,1931.52,369.15,217.24,0,1193.8,0,0,0,151.33
Albany,City,Weekly,12/29/19 0:00,Organic,2.052865983,1436.77,96.51,193.92,0,987.55,0,0,0,158.78
Albany,City,Weekly,1/6/20 0:00,Conventional,1.155100335,161726.12,3737,140642.19,184.16,10996.65,0,0,0,6166.13
Albany,City,Weekly,1/12/20 0:00,Conventional,1.22760888,116738.3,3649.24,90717.11,203.78,16359.88,0,0,0,5808.29
Albany,City,Weekly,1/19/20 0:00,Conventional,1.088107221,138162.91,5057.86,108635.2,306.59,15879.12,0,0,0,8284.13
Albany,City,Weekly,1/26/20 0:00,Conventional,1.160866356,106202.76,4124.56,72571.73,270.72,21273.86,0,0,0,7961.9
Albany,City,Weekly,2/2/20 0:00,Conventional,1.251056884,186210.93,4933.07,156256.79,215.29,17313.74,0,0,0,7492.04
Albany,City,Weekly,2/9/20 0:00,Conventional,1.182923141,112733.67,4385.86,83521.42,112.53,15897.54,0,0,0,8816.32
Albany,City,Weekly,2/16/20 0:00,Conventional,1.219410872,98161.95,4501.3,69443.44,116.05,14938.31,0,0,0,9162.84
Albany,City,Weekly,2/23/20 0:00,Conventional,1.343168053,121781.37,4297.94,94323.17,118.28,15227.58,0,0,0,7814.4
Albany,City,Weekly,3/1/20 0:00,Conventional,1.292302301,102824.97,10324.34,69489.98,77.75,16112.18,0,0,0,6820.71
Albany,City,Weekly,3/8/20 0:00,Conventional,1.265653188,138106.43,7035.64,99396.14,107.65,22099.25,0,0,0,9467.75
Albany,City,Weekly,3/15/20 0:00,Conventional,1.275168717,135921.39,12355.25,87227.77,112.61,24600.09,0,0,0,11625.67
Albany,City,Weekly,3/22/20 0:00,Conventional,1.345303891,163295.93,12378.23,113326.8,192.78,27089.14,0,0,0,10308.98
Albany,City,Weekly,3/29/20 0:00,Conventional,1.143093153,142254.02,21796.91,94668.78,196.87,18231.5,0,0,0,7359.97
Albany,City,Weekly,4/5/20 0:00,Conventional,1.259301549,126131.88,16374.94,78938.31,202.58,22103.68,0,0,0,8512.37
Albany,City,Weekly,4/12/20 0:00,Conventional,1.443246076,131812.89,17859.96,85132.72,200.09,23083.57,0,0,0,5536.54
Albany,City,Weekly,4/19/20 0:00,Conventional,1.454467131,120773.4,10285.29,82570.03,182.97,19056.38,0,0,0,8678.73
Albany,City,Weekly,4/26/20 0:00,Conventional,1.523867411,162750.21,9975.95,122140.4,126.71,20876.51,0,0,0,9630.64
Albany,City,Weekly,5/3/20 0:00,Conventional,1.469798646,147828.27,9516.93,104621.13,265.62,21644.16,0,0,0,11780.44
Albany,City,Weekly,5/10/20 0:00,Conventional,1.32060167,186598.87,11783.77,139712.07,232.47,23057.54,0,0,0,11813.02
Albany,City,Weekly,5/17/20 0:00,Conventional,1.522925008,155788.15,9215.86,112819.39,192.78,21634,0,0,0,11926.12
Albany,City,Weekly,5/24/20 0:00,Conventional,1.46520653,156585.19,9724.78,109421.12,279.03,24257.65,0,0,0,12902.6
Albany,City,Weekly,5/31/20 0:00,Conventional,1.532191213,184144.8,10931.81,140762.3,309.24,21831.46,0,0,0,10309.99
Albany,City,Weekly,6/7/20 0:00,Conventional,1.435383002,145578.2,9409.95,101987.48,192.78,24912.7,0,0,0,9075.28
